Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp,translated_text,Energy_Category,Aspect_Category,processed_text,Likes_numeric,textblob_sentiment,TextBlob sentiment,TextBlob sentiment_category,bert_sentiment,bert_sentiment category,bert_sentiment_category
Ocarina Jones,@OcarinaJones,"https://pbs.twimg.com/media/GJEWYdBagAANffD?format=png&name=small, https://pbs.twimg.com/media/GJEWYdBagAANffD?format=png&name=small",28,60,5.0,3K,https://x.com/OcarinaJones/status/1770222400002810336,https://x.com/OcarinaJones,"The grim cost of firming up solar and wind
Alan Moran The Spectator Australia 20 March 2024
*****I'm sure that the @ABCaustralia will follow this up! 

The ‘transition’ of the electricity supply industry has been forced by government subsidies to renewable energy generators",Mar 20,2024-03-19T22:54:43.000Z,"The grim cost of firming up solar and wind
Alan Moran The Spectator Australia 20 March 2024
*****I'm sure that the @ABCaustralia will follow this up!

The ‘transition’ of the electricity supply industry has been forced by government subsidies to renewable energy generators",Other,Policy,grim cost firming solar wind alan moran spectator australia march im sure abcaustralia follow transition electricity supply industry forced government subsidy renewable energy generator,60.0,-0.225,2.55,Negative,1,Very Negative,Very Negative
Simon Banks,@SimonBanksHB,,23,45,5.0,765,https://x.com/SimonBanksHB/status/1803569792298918251,https://x.com/SimonBanksHB,"“As the owner of these sites, nuclear energy is not a part of these plans,” Nicks says. There is no viable road map for the development of nuclear energy in Australia, and “the cost, build time and public opinion are all prohibitive”.",Jun 20,2024-06-19T23:25:21.000Z,"“As the owner of these sites, nuclear energy is not a part of these plans,” Nicks says. There is no viable road map for the development of nuclear energy in Australia, and “the cost, build time and public opinion are all prohibitive”.",Nuclear Energy,Technology,owner site nuclear energy part plan nick say viable road map development nuclear energy australia cost build time public opinion prohibitive,45.0,0.0,3.0,Neutral,1,Very Negative,Very Negative
LEAN Australia,@LEANAustralia,,3,4,,315,https://x.com/LEANAustralia/status/1755824837040472460,https://x.com/LEANAustralia,"Labor knows that renewable energy = cost of living relief, and that we need to do more to bring more of it on stream promptly and make its benefits available to everyone
Libs / Nats are hoping people can be distracted from the fact that nuclear energy = the most expensive energy",Feb 9,2024-02-09T05:23:57.000Z,"Labor knows that renewable energy = cost of living relief, and that we need to do more to bring more of it on stream promptly and make its benefits available to everyone
Libs / Nats are hoping people can be distracted from the fact that nuclear energy = the most expensive energy",Nuclear Energy,Jobs,labor know renewable energy cost living relief need bring stream promptly make benefit available everyone libs nats hoping people distracted fact nuclear energy expensive energy,4.0,0.27999999999999997,3.56,Neutral,4,Positive,Positive
Clean Energy Conference Australia Africa,@Eaogec,,,,,43,https://x.com/Eaogec/status/1775152230229856741,https://x.com/Eaogec,"Renewable energy has the potential to significantly drive economic growth and industrial activities through job creation, investment opportunities, cost savings, and investment and innovation opportunities. https://intechopen.com/chapters/70874 .",Apr 3,2024-04-02T13:24:07.000Z,"Renewable energy has the potential to significantly drive economic growth and industrial activities through job creation, investment opportunities, cost savings, and investment and innovation opportunities. https://intechopen.com/chapters/70874 .",Other,Jobs,renewable energy potential significantly drive economic growth industrial activity job creation investment opportunity cost saving investment innovation opportunity httpsintechopencomchapters,,0.19166666666666665,3.38,Neutral,5,Very Positive,Very Positive
Madison Cartwright,@madkcartwright,"https://pbs.twimg.com/media/GIC-PXIa8AAGtzC?format=jpg&name=small, https://pbs.twimg.com/media/GIC-PXIa8AAGtzC?format=jpg&name=small",,2,,120,https://x.com/madkcartwright/status/1765620230443941975,https://x.com/madkcartwright,"A perfect example of how fundamentally unserious Australian politics is. Rolling out nuclear energy in Australia would be an expensive, decades long process. Meanwhile, the cost of renewable energy is falling like a rock. Energy policy chosen based on culture war nonsense.",Mar 7,2024-03-07T06:07:21.000Z,"A perfect example of how fundamentally unserious Australian politics is. Rolling out nuclear energy in Australia would be an expensive, decades long process. Meanwhile, the cost of renewable energy is falling like a rock. Energy policy chosen based on culture war nonsense.",Nuclear Energy,Policy,perfect example fundamentally unserious australian politics rolling nuclear energy australia would expensive decade long process meanwhile cost renewable energy falling like rock energy policy chosen based culture war nonsense,2.0,0.1125,3.23,Neutral,1,Very Negative,Very Negative
John Randall,@thjr19,https://pbs.twimg.com/media/FzgYY1rWwAQR_Pv?format=jpg&name=small,8,16,3.0,969,https://x.com/thjr19/status/1673215263192518657,https://x.com/thjr19,"NSW renewable energy zones up to two years behind schedule
https://theguardian.com/australia-news/2023/may/25/nsw-renewable-energy-zones-up-to-two-years-behind-schedule?CMP=share_btn_tw…
Transmission costs are NEVER included in the cost of ""renewables"".
#nuclear #uranium #thorium #repeal140A #auspol #AusPol2023","Jun 26, 2023",2023-06-26T06:23:00.000Z,"NSW renewable energy zones up to two years behind schedule
https://theguardian.com/australia-news/2023/may/25/nsw-renewable-energy-zones-up-to-two-years-behind-schedule?CMP=share_btn_tw…
Transmission costs are NEVER included in the cost of ""renewables"".
#nuclear #uranium #thorium #repeal140A #auspol #AusPol2023",Nuclear Energy,Cost,nsw renewable energy zone two year behind schedule httpstheguardiancomaustralianewsmaynswrenewableenergyzonesuptotwoyearsbehindschedulecmpsharebtntw transmission cost never included cost renewables nuclear uranium thorium repeala auspol auspol,16.0,-0.4,2.2,Negative,1,Very Negative,Very Negative
Climatehope,@Climatehope2,,18,28,9.0,711,https://x.com/Climatehope2/status/1664196492695937024,https://x.com/Climatehope2,"""South Australia sees “doubling in demand” for its low cost green electricity.""

Renewable energy is so cheap that everyone wants connect to the SA grid to benefit from it.","Jun 1, 2023",2023-06-01T09:05:37.000Z,"""South Australia sees “doubling in demand” for its low cost green electricity.""

Renewable energy is so cheap that everyone wants connect to the SA grid to benefit from it.",Other,Cost,south australia see doubling demand low cost green electricity renewable energy cheap everyone want connect sa grid benefit,28.0,0.1,3.2,Neutral,2,Negative,Negative
OzSolarEnergySolutions,@oz_solar_energy,https://pbs.twimg.com/media/GEmaZcUWoAAbo2o?format=jpg&name=small,,,1.0,61,https://x.com/oz_solar_energy/status/1750099708284944776,https://x.com/oz_solar_energy,"CEC Approved Solar Retailer
•Into solar for more than a decade
•Over 33% of energy in Australia is renewable
•Solar revolution in Australia has kicked off…!
•Convert your solar system into income instead of cost",Jan 24,2024-01-24T10:14:20.000Z,"CEC Approved Solar Retailer
•Into solar for more than a decade
•Over 33% of energy in Australia is renewable
•Solar revolution in Australia has kicked off…!
•Convert your solar system into income instead of cost",Other,Cost,cec approved solar retailer solar decade energy australia renewable solar revolution australia kicked convert solar system income instead cost,,0.625,4.25,Positive,1,Very Negative,Very Negative
H G Tannhaus,@tannhaushg,"https://pbs.twimg.com/media/GHUMRmSacAEftg-?format=jpg&name=small, https://pbs.twimg.com/media/GHUMRmSacAEftg-?format=jpg&name=small",3,11,,324,https://x.com/tannhaushg/status/1762329962437357749,https://x.com/tannhaushg,"PM Modi has made India a global leader in renewable energy, digital innovation, and space exploration. He has also strengthened India’s relations with key partners like US, Japan, Australia, and UAE. He is the best ambassador of India’s culture and heritage. #SwagathamModi_TVM",Feb 27,2024-02-27T04:13:00.000Z,"PM Modi has made India a global leader in renewable energy, digital innovation, and space exploration. He has also strengthened India’s relations with key partners like US, Japan, Australia, and UAE. He is the best ambassador of India’s culture and heritage. #SwagathamModi_TVM",Other,Technology,pm modi made india global leader renewable energy digital innovation space exploration also strengthened india relation key partner like u japan australia uae best ambassador india culture heritage swagathammoditvm,11.0,0.25,3.5,Neutral,5,Very Positive,Very Positive
The Australian,@australian,"https://pbs.twimg.com/ext_tw_video_thumb/1790959110340726784/pu/img/dpI8QWuWylUTMfu7.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1790959110340726784/pu/img/dpI8QWuWylUTMfu7.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1790959110340726784/pu/img/dpI8QWuWylUTMfu7.jpg",3,3,8.0,3.3K,https://x.com/australian/status/1790959168935084405,https://x.com/australian,"Labor’s Future Made in Australia agenda will cost $22.7bn over the decade to facilitate private sector investment into renewable hydrogen, critical minerals processing, green metals, low carbon liquid fuels and clean energy manufacturing: https://bit.ly/4byZKjG",May 16,2024-05-16T04:15:14.000Z,"Labor’s Future Made in Australia agenda will cost $22.7bn over the decade to facilitate private sector investment into renewable hydrogen, critical minerals processing, green metals, low carbon liquid fuels and clean energy manufacturing: https://bit.ly/4byZKjG",Other,Jobs,labor future made australia agenda cost bn decade facilitate private sector investment renewable hydrogen critical mineral processing green metal low carbon liquid fuel clean energy manufacturing httpsbitlybyzkjg,3.0,0.02777777777777778,3.06,Neutral,5,Very Positive,Very Positive
Australian Solar and Renewable Energy News,@AusSolarNews,,2,3,,55,https://x.com/AusSolarNews/status/1789622670390104322,https://x.com/AusSolarNews,The role of green hydrogen and ultra-low cost solar in Australia’s superpower vision https://arena.gov.au/blog/the-role-of-green-hydrogen-and-ultra-low-cost-solar-in-australias-superpower-vision/?utm_source=SPS&utm_medium=TwitterAUsolarnews… #CleanEnergy #EnergyStorage,May 12,2024-05-12T11:44:28.000Z,The role of green hydrogen and ultra-low cost solar in Australia’s superpower vision https://arena.gov.au/blog/the-role-of-green-hydrogen-and-ultra-low-cost-solar-in-australias-superpower-vision/?utm_source=SPS&utm_medium=TwitterAUsolarnews… #CleanEnergy #EnergyStorage,Other,Cost,role green hydrogen ultralow cost solar australia superpower vision httpsarenagovaublogtheroleofgreenhydrogenandultralowcostsolarinaustraliassuperpowervisionutmsourcespsutmmediumtwitterausolarnews cleanenergy energystorage,3.0,-0.2,2.6,Negative,4,Positive,Positive
Renew Economy,@renew_economy,,56,118,14.0,7.5K,https://x.com/renew_economy/status/1770667604371284381,https://x.com/renew_economy,"South Australia expected to double grid demand as new industry floods to the state, lured by low cost clean energy and its accelerated 100 pct renewables target",Mar 21,2024-03-21T04:23:48.000Z,"South Australia expected to double grid demand as new industry floods to the state, lured by low cost clean energy and its accelerated 100 pct renewables target",Other,Cost,south australia expected double grid demand new industry flood state lured low cost clean energy accelerated pct renewables target,118.0,0.08060606060606061,3.16,Neutral,2,Negative,Negative
BDO Australia,@BDOAustralia,,,1,,74,https://x.com/BDOAustralia/status/1800454174896738727,https://x.com/BDOAustralia,"The @qldgov delivered its 2024-2025 #StateBudget today, announcing a deficit to fund cost-of-living support and investment in health and renewable energy. Read our comment.
https://bdo.com.au/en-au/insights/budget/articles/queensland-state-budget-2024-25…
#qldpol",Jun 11,2024-06-11T09:05:00.000Z,"The @qldgov delivered its 2024-2025 #StateBudget today, announcing a deficit to fund cost-of-living support and investment in health and renewable energy. Read our comment.
https://bdo.com.au/en-au/insights/budget/articles/queensland-state-budget-2024-25…
#qldpol",Other,Investment,qldgov delivered statebudget today announcing deficit fund costofliving support investment health renewable energy read comment httpsbdocomauenauinsightsbudgetarticlesqueenslandstatebudget qldpol,1.0,0.0,3.0,Neutral,1,Very Negative,Very Negative
Tegan Brink,@AuHCSouthAfrica,https://pbs.twimg.com/media/GYK1EJSWUAARzRW?format=jpg&name=small,,,,124,https://x.com/AuHCSouthAfrica/status/1838230971235082586,https://x.com/AuHCSouthAfrica,"Australia has a new National Hydrogen Strategy that seeks to position Australia as a renewable energy superpower. It includes measure to:
• drive economies of scale
• accelerate investment &
• reduce the cost gap for green hydrogen. 

See https://minister.dcceew.gov.au/bowen/media-releases/new-national-hydrogen-strategy-sets-australia-renewable-superpower…
@DMRE_ZA",Sep 24,2024-09-23T14:56:30.000Z,"Australia has a new National Hydrogen Strategy that seeks to position Australia as a renewable energy superpower. It includes measure to:
• drive economies of scale
• accelerate investment &
• reduce the cost gap for green hydrogen.

See https://minister.dcceew.gov.au/bowen/media-releases/new-national-hydrogen-strategy-sets-australia-renewable-superpower…
@DMRE_ZA",Other,Policy,australia new national hydrogen strategy seek position australia renewable energy superpower includes measure drive economy scale accelerate investment reduce cost gap green hydrogen see httpsministerdcceewgovaubowenmediareleasesnewnationalhydrogenstrategysetsaustraliarenewablesuperpower dmreza,,-0.03181818181818183,2.94,Negative,4,Positive,Positive
Aussie Skier,@aussie_skier,,1,6,1.0,279,https://x.com/aussie_skier/status/1751558264591176095,https://x.com/aussie_skier,The cost of living crisis in Australia is primarily driven by the Absentese govt's renewable energy policy & IR policy that will make it nigh on impossible or far too dangerous to hire casuals for fear of legal repercussions. This will drive up unemployment and welfare demand.,Jan 28,2024-01-28T10:50:07.000Z,The cost of living crisis in Australia is primarily driven by the Absentese govt's renewable energy policy & IR policy that will make it nigh on impossible or far too dangerous to hire casuals for fear of legal repercussions. This will drive up unemployment and welfare demand.,Other,Policy,cost living crisis australia primarily driven absentese govts renewable energy policy ir policy make nigh impossible far dangerous hire casuals fear legal repercussion drive unemployment welfare demand,6.0,-0.11333333333333333,2.77,Negative,2,Negative,Negative
𝓡𝓸𝓮𝓵𝓸𝓯 𝓑𝓸𝓮𝓻 AKA Roy,@RoyPentland,https://pbs.twimg.com/media/FyYFuXSaUAE3kMh?format=jpg&name=900x900,18,40,2.0,1.1K,https://x.com/RoyPentland/status/1668027013230383104,https://x.com/RoyPentland,"In 23 years the cost of electricity has risen by over 300%, with South Australia staying on top of the pile as the most expensive, yet it has the greatest penetration of renewable energy.

Renewables are NOT cheaper and here is over 20 years of proof.","Jun 12, 2023",2023-06-11T22:46:45.000Z,"In 23 years the cost of electricity has risen by over 300%, with South Australia staying on top of the pile as the most expensive, yet it has the greatest penetration of renewable energy.

Renewables are NOT cheaper and here is over 20 years of proof.",Other,Cost,year cost electricity risen south australia staying top pile expensive yet greatest penetration renewable energy renewables cheaper year proof,40.0,0.375,3.75,Neutral,5,Very Positive,Very Positive
"True Science PEng, DFP, ADFS, MA, MBA.",@socratesccost,https://pbs.twimg.com/media/GX8zQ6CbUAAUS0P?format=jpg&name=small,6,9,,264,https://x.com/socratesccost/status/1837243548414218440,https://x.com/socratesccost,"Is renewable energy really cheaper?
Facts vs Rhetoric!
Australia has had a similar cost increase.",Sep 21,2024-09-20T21:32:50.000Z,"Is renewable energy really cheaper?
Facts vs Rhetoric!
Australia has had a similar cost increase.",Other,Cost,renewable energy really cheaper fact v rhetoric australia similar cost increase,9.0,0.125,3.25,Neutral,2,Negative,Negative
Josh Wilson,@Josh4Freo,,25,54,30.0,2.6K,https://x.com/Josh4Freo/status/1799343108838343137,https://x.com/Josh4Freo,"Dutton’s dangerous madness.

Australia would be left behind as the world surges towards renewable energy, storage, and zero-emission tech.

We would lose investment, jobs, innovation, and trade.

It would destroy our standing in the region, especially in the Pacific.",Jun 8,2024-06-08T07:30:01.000Z,"Dutton’s dangerous madness.

Australia would be left behind as the world surges towards renewable energy, storage, and zero-emission tech.

We would lose investment, jobs, innovation, and trade.

It would destroy our standing in the region, especially in the Pacific.",Other,Investment,duttons dangerous madness australia would left behind world surge towards renewable energy storage zeroemission tech would lose investment job innovation trade would destroy standing region especially pacific,54.0,-0.24,2.52,Negative,1,Very Negative,Very Negative
RX,@RXGlobal_,,,,,93,https://x.com/RXGlobal_/status/1638872473214001153,https://x.com/RXGlobal_,"Our portfolio of future energy business events are driving the transition to clean & #renewable energy in Europe, the Middle East, Japan, and Australia. Read about the market-leading events combating climate change and accelerating #sustainable energy innovation. #futureenergy","Mar 23, 2023",2023-03-23T11:57:01.000Z,"Our portfolio of future energy business events are driving the transition to clean & #renewable energy in Europe, the Middle East, Japan, and Australia. Read about the market-leading events combating climate change and accelerating #sustainable energy innovation. #futureenergy",Other,Economy,portfolio future energy business event driving transition clean renewable energy europe middle east japan australia read marketleading event combating climate change accelerating sustainable energy innovation futureenergy,,0.12222222222222223,3.24,Neutral,5,Very Positive,Very Positive
Raymond McKeown,@RyanWil62993886,,4,18,3.0,273,https://x.com/RyanWil62993886/status/1661960135579926528,https://x.com/RyanWil62993886,"How often have you heard Crayfish Albanese screeching make goods in Australia?
The biggest defense contract of all time for land-based vehicles will go to an overseas company offshore, renewable energy will not allow manufacturing 7 X24, therefore the cost to Australian companies","May 26, 2023",2023-05-26T04:59:08.000Z,"How often have you heard Crayfish Albanese screeching make goods in Australia?
The biggest defense contract of all time for land-based vehicles will go to an overseas company offshore, renewable energy will not allow manufacturing 7 X24, therefore the cost to Australian companies",Other,Cost,often heard crayfish albanese screeching make good australia biggest defense contract time landbased vehicle go overseas company offshore renewable energy allow manufacturing x therefore cost australian company,18.0,0.0,3.0,Neutral,1,Very Negative,Very Negative
Investing News Network Australia (INN),@INN_Australia,,,1,,127,https://x.com/INN_Australia/status/1768118608197025928,https://x.com/INN_Australia,".@FrontierASX is developing the Waroona Renewable Energy Project 120kms south of Perth in WA. A recent Definitive Feasibility Study confirms the project as a long life, low operating cost, highly profitable #renewableenergy project. $FHE #cleanenergy",Mar 14,2024-03-14T03:35:00.000Z,".@FrontierASX is developing the Waroona Renewable Energy Project 120kms south of Perth in WA. A recent Definitive Feasibility Study confirms the project as a long life, low operating cost, highly profitable #renewableenergy project. $FHE #cleanenergy",Other,Cost,frontierasx developing waroona renewable energy project km south perth wa recent definitive feasibility study confirms project long life low operating cost highly profitable renewableenergy project fhe cleanenergy,1.0,0.0275,3.06,Neutral,5,Very Positive,Very Positive
Pete Bissell,@pjbll,,1,1,,67,https://x.com/pjbll/status/1745898037745267170,https://x.com/pjbll,Australia’s renewable energy goals can’t come at the cost of biodiversity – we need a strategic approach | Hugh Possingham,Jan 13,2024-01-12T19:58:24.000Z,Australia’s renewable energy goals can’t come at the cost of biodiversity – we need a strategic approach | Hugh Possingham,Other,Cost,australia renewable energy goal cant come cost biodiversity need strategic approach hugh possingham,1.0,0.0,3.0,Neutral,3,Neutral,Neutral
Michael Mobbs,@m_mobbs,,1,3,,68,https://x.com/m_mobbs/status/1745660569041223993,https://x.com/m_mobbs,"To kill the few remaining and so precious marine places by building wind farms there is so plainly wrong and so plainly madness.

Australia’s renewable energy goals can’t come at the cost of biodiversity – we need a strategic approach | Hugh Possingham",Jan 12,2024-01-12T04:14:47.000Z,"To kill the few remaining and so precious marine places by building wind farms there is so plainly wrong and so plainly madness.

Australia’s renewable energy goals can’t come at the cost of biodiversity – we need a strategic approach | Hugh Possingham",Wind Energy,Cost,kill remaining precious marine place building wind farm plainly wrong plainly madness australia renewable energy goal cant come cost biodiversity need strategic approach hugh possingham,3.0,-0.10357142857142856,2.79,Negative,1,Very Negative,Very Negative
John Silvani,@jsilvani,https://pbs.twimg.com/media/Fn60J96XgAczmv6?format=jpg&name=small,1,2,,20,https://x.com/jsilvani/status/1620931001533829120,https://x.com/jsilvani,"Gravity's cloud-based accounting software is helping businesses work smarter  https://bit.ly/3wypGtk @GravityCloudERP

#Australia #Outgrown #Xero #Business #Innovation #PowerAutomate #Cloud #AccountingSoftware #BusinessIntelligence #Renewable #energy #Midmarket","Feb 2, 2023",2023-02-01T23:44:00.000Z,"Gravity's cloud-based accounting software is helping businesses work smarter  https://bit.ly/3wypGtk @GravityCloudERP

#Australia #Outgrown #Xero #Business #Innovation #PowerAutomate #Cloud #AccountingSoftware #BusinessIntelligence #Renewable #energy #Midmarket",Other,Technology,gravity cloudbased accounting software helping business work smarter httpsbitlywypgtk gravityclouderp australia outgrown xero business innovation powerautomate cloud accountingsoftware businessintelligence renewable energy midmarket,2.0,0.0,3.0,Neutral,5,Very Positive,Very Positive
Rasha kamel,@rashakmahmoud,,,13,,82,https://x.com/rashakmahmoud/status/1786461946151137324,https://x.com/rashakmahmoud,"""A model charts the most cost-efficient path to a fully renewable electricity grid for Australia. Scientists  modeled possible scenarios for Australia’s eastern and western grids, using solar and wind generation, short-to-long-term energy storage"".",May 4,2024-05-03T18:24:53.000Z,"""A model charts the most cost-efficient path to a fully renewable electricity grid for Australia. Scientists  modeled possible scenarios for Australia’s eastern and western grids, using solar and wind generation, short-to-long-term energy storage"".",Other,Cost,model chart costefficient path fully renewable electricity grid australia scientist modeled possible scenario australia eastern western grid using solar wind generation shorttolongterm energy storage,13.0,0.16666666666666666,3.33,Neutral,5,Very Positive,Very Positive
ADH TV,@adhtvaus,https://pbs.twimg.com/ext_tw_video_thumb/1680376302032003073/pu/img/QS3Bauzjq-chAU8V.jpg,14,24,2.0,1.5K,https://x.com/adhtvaus/status/1680376765775228928,https://x.com/adhtvaus,Total cost of a renewable energy system for Australia: $1.3 trillion! From Rebecca Weisser's interview with geophysicist Michael Asten on Spectator TV on http://ADH.TV.  Watch the whole show here: https://watch.adh.tv/spectator-tv/season:3/videos/spectator-tv-australia-friday-14-july-2023…,"Jul 16, 2023",2023-07-16T00:40:15.000Z,Total cost of a renewable energy system for Australia: $1.3 trillion! From Rebecca Weisser's interview with geophysicist Michael Asten on Spectator TV on http://ADH.TV.  Watch the whole show here: https://watch.adh.tv/spectator-tv/season:3/videos/spectator-tv-australia-friday-14-july-2023…,Other,Cost,total cost renewable energy system australia trillion rebecca weissers interview geophysicist michael asten spectator tv httpadhtv watch whole show httpswatchadhtvspectatortvseasonvideosspectatortvaustraliafridayjuly,24.0,0.1,3.2,Neutral,1,Very Negative,Very Negative
Kim Wingerei,@kwingerei,,,,,77,https://x.com/kwingerei/status/1807296065021829473,https://x.com/kwingerei,"Latest from AAP #news feed #auspol
Albanese links new energy plan to cost-of-living crisis. 
Tax cuts and energy bill reductions are set to come into effect as the government also prepares to advance plans to make Australia a renewable-energy sup...
 https://buff.ly/3zp8E5x",Jun 30,2024-06-30T06:12:14.000Z,"Latest from AAP #news feed #auspol
Albanese links new energy plan to cost-of-living crisis.
Tax cuts and energy bill reductions are set to come into effect as the government also prepares to advance plans to make Australia a renewable-energy sup...
https://buff.ly/3zp8E5x",Other,Policy,latest aap news feed auspol albanese link new energy plan costofliving crisis tax cut energy bill reduction set come effect government also prepares advance plan make australia renewableenergy sup httpsbufflyzpex,,0.3181818181818182,3.64,Neutral,4,Positive,Positive
Britain Innovation,@GRABritain,"https://pbs.twimg.com/media/GNILyOMWwAAvNGx?format=png&name=small, https://pbs.twimg.com/media/GNILyOMWwAAvNGx?format=png&name=small",2,1,,106,https://x.com/GRABritain/status/1788505354965307660,https://x.com/GRABritain,"Tasmania is now powered entirely by renewable energy http://wef.ch/37X4DE8 #renewables #Australia
rt @wef",May 9,2024-05-09T09:44:40.000Z,"Tasmania is now powered entirely by renewable energy http://wef.ch/37X4DE8 #renewables #Australia
rt @wef",Other,Other,tasmania powered entirely renewable energy httpwefchxde renewables australia rt wef,1.0,0.0,3.0,Neutral,1,Very Negative,Very Negative
Anthony Pesec,@anthonypesec,,9,8,2.0,399,https://x.com/anthonypesec/status/1804112994143502359,https://x.com/anthonypesec,"The federal Liberal frontbencher Simon Birmingham has cast doubt on the Coalition argument that renewable energy is driving up power prices, saying renewables have “become more cost-competitive in their own right”.

And he's right.",Jun 21,2024-06-21T11:23:51.000Z,"The federal Liberal frontbencher Simon Birmingham has cast doubt on the Coalition argument that renewable energy is driving up power prices, saying renewables have “become more cost-competitive in their own right”.

And he's right.",Other,Cost,federal liberal frontbencher simon birmingham cast doubt coalition argument renewable energy driving power price saying renewables become costcompetitive right he right,8.0,0.4178571428571428,3.84,Neutral,4,Positive,Positive
Caroline Millar,@AustraliaEU,,,1,,347,https://x.com/AustraliaEU/status/1699328368905224194,https://x.com/AustraliaEU,"'s Renewable Energy Agency aims to accelerate innovation & support the global transition to net zero.
This new report looks at whether converted fossil fuel generators could help renewable energy  grid, saving both time & money. As demand surges, could this be the answer?","Sep 6, 2023",2023-09-06T07:47:09.000Z,"'s Renewable Energy Agency aims to accelerate innovation & support the global transition to net zero.
This new report looks at whether converted fossil fuel generators could help renewable energy  grid, saving both time & money. As demand surges, could this be the answer?",Other,Technology,renewable energy agency aim accelerate innovation support global transition net zero new report look whether converted fossil fuel generator could help renewable energy grid saving time money demand surge could answer,1.0,0.04545454545454545,3.09,Neutral,4,Positive,Positive
pv magazine,@pvmagazine,"https://pbs.twimg.com/media/GKZUn_OaEAAp-Em?format=jpg&name=small, https://pbs.twimg.com/media/GKZUn_OaEAAp-Em?format=jpg&name=small",1,1,,728,https://x.com/pvmagazine/status/1776200150811283479,https://x.com/pvmagazine,"Open-source software helps stakeholders make cost-effective renewable energy investments: Conceived by a group of scientists in Australia, the novel online tool can be modified for different regulatory… http://dlvr.it/T560BW #CommercialIndustrialPV #Finance #GridsIntegration",Apr 5,2024-04-05T10:48:10.000Z,"Open-source software helps stakeholders make cost-effective renewable energy investments: Conceived by a group of scientists in Australia, the novel online tool can be modified for different regulatory… http://dlvr.it/T560BW #CommercialIndustrialPV #Finance #GridsIntegration",Other,Investment,opensource software help stakeholder make costeffective renewable energy investment conceived group scientist australia novel online tool modified different regulatory httpdlvrittbw commercialindustrialpv finance gridsintegration,1.0,0.0,3.0,Neutral,4,Positive,Positive
Regional Australia Institute,@RegionalAus,"https://pbs.twimg.com/media/GNgHmIyXYAABoxG?format=jpg&name=small, https://pbs.twimg.com/media/GNgHmIyXYAABoxG?format=jpg&name=small",1,2,1.0,153,https://x.com/RegionalAus/status/1790189251511890295,https://x.com/RegionalAus,"Discover how the small town of Yarram (VIC) is pioneering efficiency and renewable energy, transforming its timber industry into a model of sustainability.

https://regionalaustralia.org.au/efficiency_and_renewable_energy_work_hand_in_hand…

#RenewableEnergy #Sustainability #Yarram #Innovation #RebalanceTheNation",May 14,2024-05-14T01:15:52.000Z,"Discover how the small town of Yarram (VIC) is pioneering efficiency and renewable energy, transforming its timber industry into a model of sustainability.

https://regionalaustralia.org.au/efficiency_and_renewable_energy_work_hand_in_hand…

#RenewableEnergy #Sustainability #Yarram #Innovation #RebalanceTheNation",Other,Technology,discover small town yarram vic pioneering efficiency renewable energy transforming timber industry model sustainability httpsregionalaustraliaorgauefficiencyandrenewableenergyworkhandinhand renewableenergy sustainability yarram innovation rebalancethenation,2.0,-0.25,2.5,Negative,5,Very Positive,Very Positive
Climate Council,@climatecouncil,,34,81,9.0,2.7K,https://x.com/climatecouncil/status/1707159821370425816,https://x.com/climatecouncil,"We can and should power Australia with 100% renewable energy, backed by storage 

Moving to a fully renewables-powered grid will help tackle the cost of living and climate crises together in the best two-for-one deal Australians will ever see
#AusPol","Sep 28, 2023",2023-09-27T22:26:33.000Z,"We can and should power Australia with 100% renewable energy, backed by storage

Moving to a fully renewables-powered grid will help tackle the cost of living and climate crises together in the best two-for-one deal Australians will ever see
#AusPol",Other,Environment,power australia renewable energy backed storage moving fully renewablespowered grid help tackle cost living climate crisis together best twoforone deal australian ever see auspol,81.0,1.0,5.0,Very Positive,5,Very Positive,Very Positive
Ambassador for Climate Change,@AusAmbClimate,https://pbs.twimg.com/media/FyFH1qHaYAAuv1w?format=jpg&name=small,2,8,,872,https://x.com/AusAmbClimate/status/1666692337224015873,https://x.com/AusAmbClimate,"Great to show Tonsley Innovation District, SA to Tuvalu’s Foreign Minister @Simon_Kofe. Once the centre of South Australia’s car manufacturing industry, Tonsley is now at the forefront of renewable and clean energy transformation.  @TonsleySA","Jun 8, 2023",2023-06-08T06:23:13.000Z,"Great to show Tonsley Innovation District, SA to Tuvalu’s Foreign Minister @Simon_Kofe. Once the centre of South Australia’s car manufacturing industry, Tonsley is now at the forefront of renewable and clean energy transformation.  @TonsleySA",Other,Technology,great show tonsley innovation district sa tuvalu foreign minister simonkofe centre south australia car manufacturing industry tonsley forefront renewable clean energy transformation tonsleysa,8.0,0.34722222222222227,3.69,Neutral,5,Very Positive,Very Positive
